نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
علي,آدینه ,خيابان مسعود بخت آزاد (ارباب مهدي) . نبش خيابان امير فراهاني .,1,21,کارشناسی (لیسانس),,51,,35
محمد,آریان‌پور,شهرک شریعتی خ ما هان ک 22,1,16,کارشناسی ارشد یا بالاتر,,27,,11
مريم,آژند,شهرک غرب - بلوار فرهزادی - خ حافظی - نبش دل شاد,0,21,ابتدایی یا متوسطه,,41,,23
مهدي,آشتیانی,مهراباد جنوبی خ واشقانی فراهانی نبش شامبولی غربی ملک در حال ساخت,1,24,دیپلم,,53,,26
حسين,آشنا,ولنجک-انتهای خ 22- گلستان چهارم غربی- بیمارستان رامتین,0,24,دیپلم,,31,,6
عليرضا,آشوری,خ مقدس اردبیلی. خ ب .نبش کوچه هفتم.,0,20,دیپلم,,21,,34
محمدرضا,آقاجری ,افسرسه - 15متری اول - خ25,1,24,دیپلم,,17,,28
معصومه,آهنگر,وحدت اسلامی.مقدس خیابانی.,1,12,کارشناسی (لیسانس),,53,,26
زينب,آهنگری ,شهرری دولت اباد بلوار قدس,0,19,کارشناسی (لیسانس),,28,,18
رضا,آهی,دامپزشکی نرسیده به خ خوش,1,25,کارشناسی (لیسانس),,24,,26
اميرحسين,آیتی,شهرک شریعتی خ ماهان داخل پارک شریعتی شیر ابخوری داخل زمین فوتبال,0,17,دیپلم,,48,,3
محمدحسين,ابریشمی,خیام جنویس - ک مهرابی,0,18,کارشناسی ارشد یا بالاتر,,54,,16
مرضيه,ابطحی,اتوبن آزادگان - بعد از ورزشگاه شهید کاظمی - قبل از جایگاه پم,1,25,کارشناسی (لیسانس),,23,,7
ابوالفضل,ابوذر,قنات کوثر - خ مسجد کوثر,1,18,فوق دیپلم,,18,,9
حسن,ادب ,نیاوران,0,20,کارشناسی ارشد یا بالاتر,,39,,4
محسن,ارسباران ,بزرگراه رسالت - بعد از چهار راه در دشت - داخل بن بست نخجیر,0,25,دیپلم,,24,,17
محمدمهدي,استادی,خ وحدت اسلامی - کوچه طبرستان -,1,19,دیپلم,,17,,19
صديقه,اشتری,خ کارون بین بهنود و آذربایجان کوچه بیگدلی بن بست سعذی,0,19,دیپلم,,41,,27
زهره,اشراقی,خ ولیعصر (عج) ح فاصل زعفرانیه تاباغ فردوس-کنارانهار,1,13,دیپلم,,47,,29
ليلا,اشکوری,خواجه کرمانی - شهید انور زاده -محسن هاشمی ک خالقی,1,12,دیپلم,,16,,8
احمد,اصفهانی,فلاح . میدام مقدم . خ شهسوار شمالی . کوچه محسنی زرین,1,12,دیپلم,,34,,34
طاهره,اصلانی,خیابان پیروزی - خیابان تاجری - کوچه جزدره غربی - کوچه روشنی -,1,14,دیپلم,,20,,0
عباس,اعتبار,خ شیخ هادی,0,19,کارشناسی ارشد یا بالاتر,,50,,7
اعظم,اعتماد,خیابان وحدت اسلامی کوچه طبرستان انتهای طبرستان,0,24,دیپلم,,51,,19
سميه,اعلم,خ مطهری خ سر بداران  خ  افتخاریان,1,24,کارشناسی (لیسانس),,37,,33
